resume_id,Data Analyst Intern,Machine Learning Intern,Frontend Developer Intern,Full Stack Developer Intern,Digital Marketing Intern,Performance Marketing Intern,UI/UX Design Intern,Business Analyst Intern
R001,0.4517947095512532,0.41593939374460975,0.007514840896213443,0.005896582393728546,0.007534359094299819,0.006066819522004288,0.16995527374807298,0.0068322931126179156
R002,0.02608920448020819,0.015331794875919997,0.4472568451484787,0.1361960322170106,0.007981529588510028,0.006426890319000316,0.007563049811601261,0.007237795405449936
R003,0.33531045574926405,0.20060640653026213,0.016576981188199717,0.01625908265482382,0.19455359998388844,0.1948443336013678,0.015748630823740575,0.17408495498664933
R004,0.29842990262107694,0.2822146076903163,0.00787558665847844,0.00617964455562419,0.00789604181682039,0.006358053822665581,0.007482044251401085,0.007160273547728812
R005,0.0283260788283317,0.02288898580501625,0.013077185404635283,0.012826402827661768,0.03251643616819786,0.19641624143628061,0.01242371954296558,0.43391494129264674
R006,0.0163980048302103,0.02124513350580008,0.015549379841933293,0.015251187728994534,0.4072467251863594,0.22841541529175438,0.18137300599062034,0.014137081844680377
R007,0.024989559281972898,0.19816570295440036,0.023696306555663023,0.023241879961644007,0.023757852663113144,0.023912884051166775,0.6057864964530287,0.02154405054088597
R008,0.03159826848834428,0.025533089958409933,0.014587843873195198,0.014308091237914025,0.014625732689512467,0.014721172612989934,0.0138588905341134,0.7931202847929733
R009,0.007606261861752327,0.009460113703323156,0.16641264692485175,0.2647482015352977,0.007231357967922583,0.005822836838714684,0.0314363676526645,0.16439982547776524
R010,0.15227432725372977,0.01750630666080932,0.17666927183770914,0.277514830642513,0.016350044337620284,0.01316538897756486,0.015492794755196186,0.014826515954546744
R011,0.29448174635179364,0.29921361684630216,0.009274271230426933,0.007277134034807566,0.009298359173935287,0.15233345247243368,0.008810836672192304,0.1664990651542798
R012,0.15698910828264062,0.29556326959175844,0.00870253938348105,0.12737999617749893,0.008725142375332394,0.007025662492643996,0.008267674217852575,0.16548194577539116
R013,0.17733070113176364,0.22599305277013143,0.018517990460663835,0.018162868985789726,0.018566086995369574,0.018687239621342607,0.017592648025090522,0.17578613112925404
R014,0.3089923526775888,0.19526761886997526,0.1545543678973771,0.15389171510483324,0.017005753787871624,0.01711672449099099,0.01611412468690848,0.17464391806990515
R015,0.015112141460253043,0.019579178455303266,0.310847943238148,0.311227592198146,0.014367281398828664,0.014461034803625037,0.24046516051949174,0.013028510656271404
R016,0.34493685530442336,0.044945271988993514,0.025762487640335736,0.025268437671647395,0.025829400212924625,0.025997949442704962,0.024475138286194145,0.1821882793267005
R017,0.015234823726408237,0.019738124689936604,0.014446395363318182,0.16518322911534422,0.38626907945844613,0.557281749174566,0.013724510194452583,0.013134277745346265
R018,0.016208193048577197,0.02099921476851932,0.015369391146866578,0.015074650696298451,0.40423776882812174,0.5857490595373348,0.040798993931391414,0.18745882881537745
R019,0.16110696446546985,0.43695160281506756,0.009671359862546247,0.00758871293171865,0.1875466374261468,0.007807802670578024,0.009188082818553548,0.16720549168102036
R020,0.007512133325664161,0.009343043495866971,0.007123367489732563,0.005589409530304222,0.5651090478836178,0.18364584677875917,0.031047338281751814,0.006476375922112912
R021,0.007459596149703835,0.00927770158846626,0.0070735492031002425,0.005550319197468316,0.007091921240037099,0.005710559543163418,0.5838517624918094,0.16412216469044866
R022,0.007153747060381555,0.008897308799783064,0.006783528330840229,0.005322751908579486,0.5873208783538579,0.1925063660233962,0.006444555987119987,0.1768952264906905
R023,0.035114810269598964,0.02837464368710248,0.01621131139001289,0.01590042534529363,0.4099478120457214,0.4171057247774359,0.015401233514806219,0.014738892371267513
R024,0.015154377509337095,0.019633899167416678,0.014370112376513517,0.01409453520132843,0.23126997529028043,0.40380544698077503,0.01365203906212276,0.18502335092039737
R025,0.02425275163606462,0.01425257000622077,0.007400478232945719,0.12722261678218902,0.007419699398380815,0.005974493197643829,0.5279126119970079,0.006728317626326724
R026,0.026266679312430652,0.031483411830158146,0.3336496054517676,0.34657064084780115,0.024972024916987745,0.025134979361578658,0.02366271605578085,0.18111982882897584
R027,0.152115814736838,0.01959213193261285,0.0143395428063701,0.014064551867086723,0.014376786713570289,0.01447060214510617,0.4271967297394899,0.013037130247616822
R028,0.4397654976391149,0.357763213393414,0.016102013113321375,0.015793223093292393,0.016143834661625025,0.01624918092888199,0.04274378399352002,0.17339486644919697
R029,0.01557358172352043,0.02017701703990999,0.014767622050718937,0.014484421790184474,0.23351808585155356,0.059016051092592184,0.6013670424804793,0.013426328490562058
R030,0.01621706657759368,0.02101071124693696,0.01537780545547573,0.015082903642815443,0.015417746028690652,0.015518354219227896,0.6043189261391576,0.01398109098405067
R031,0.0298123229200034,0.024089950475178694,0.013763333659080399,0.16304685303630798,0.5885438619255255,0.239965133196487,0.013075581026484807,0.012513256243785482
R032,0.016855184640146372,0.017157645844768494,0.3106364849370785,0.37266241807163186,0.2121472037671315,0.17004219527280845,0.015184235641800076,0.01453122664813198
R033,0.16637157440223066,0.19054565607195834,0.01519238800128909,0.014901041958891137,0.015231846992172539,0.01533124210229894,0.014433225642654646,0.6428627619663125
R034,0.4341987986735045,0.27927113468819104,0.008072753602700964,0.006334353237815131,0.032048073242176504,0.025805761837839288,0.0076693587799001525,0.00733953247997397
R035,0.024280830386572184,0.014269070993956166,0.14277578248793582,0.005813569686429299,0.3710711541354458,0.29722794201387454,0.0070388167573295635,0.00673610737137505
R036,0.031773918597437355,0.025675024635568977,0.01466893554341455,0.014387627804538878,0.014707034978067504,0.014803005437988032,0.36853676841553346,0.19933927889174918
R037,0.16453469535069978,0.18893955433335585,0.014590584426102421,0.16647457888341577,0.6050185003067221,0.42011928493993,0.013861494141820911,0.013265370599364236
R038,0.45199673015818065,0.3682552402916568,0.017514414155270098,0.01717853837006611,0.01755990411434849,0.017674490914238988,0.01663922034379773,0.1926867554722649
R039,0.03338819561266939,0.026979446751702253,0.3162078913394354,0.33402682725244276,0.015454227316164039,0.015555073564606392,0.014643946338332948,0.1875680196293809
R040,0.007716268888923259,0.009596932419811811,0.44426111162019893,0.24620844209276924,0.007335942875321068,0.005907050737995404,0.23541862987925605,0.006652365696179028
R041,0.01591918306797533,0.016204848006695225,0.015095337930452774,0.011844682422077774,0.2494921219916067,0.3254425858838268,0.17901656393886572,0.013724279036544901
R042,0.015708979290371232,0.020352437123870838,0.014896012560322764,0.014610350141314505,0.03703895192972661,0.037280648862995015,0.5994840514610541,0.013543057720975133
R043,0.014131730957037887,0.01830896587475071,0.013400389544352357,0.013143408847176458,0.20590083156631903,0.03353751315711332,0.012730773198834611,0.6201138845801595
R044,0.17912463116186708,0.03569551755064069,0.1840857417380601,0.2145041947123093,0.02379043633349981,0.02394568034563692,0.02254307937278174,0.02157359800258514
R045,0.006888082653740971,0.008566894788350805,0.006531612514732783,0.005125084068837277,0.5822212753962303,0.18981374066990164,0.16734436131755065,0.005938368065940523
R046,0.31346624417919766,0.20195381231159823,0.0249888540368301,0.02450964012213329,0.02505375726096731,0.02521724504831927,0.023740163089194872,0.18122168266593502
R047,0.29399021879628906,0.29867939894232537,0.009190599906135246,0.007211480634490478,0.009214470531206094,0.140758154620692,0.03379219864741564,0.008355848554445723
R048,0.016899795884436804,0.02189525027606825,0.016025202344990327,0.0157178853332445,0.4194770500694117,0.5915414655297806,0.015224424323208315,0.1732832668837067
R049,0.01606859370291144,0.016356939770411052,0.015237016307737179,0.01195585153884353,0.015276591211137941,0.012301022639009715,0.014475623876359589,0.600869696356793
R050,0.1721220814744515,0.5607152440911969,0.1584861040042385,0.018062656219734345,0.018463649493117785,0.018584133665237344,0.04539758531119603,0.17564385737677854
